Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isol_growth_condt,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,locus_tag_prefix,num_replicons,Organism,Platform,project_name,ref_biomaterial,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study,Strain
DRR272483,WGS,302,303348430,PRJDB11170,SAMD00278419,MIGS.ba.human-associated,132147594,NIID,2018-03-22,public,"run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,DRX262067,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1145,PAIRED,RANDOM,GENOMIC,JARBOU1145,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:08:00Z,1,SAMD00278419,JARB-OU1145,DRP008386,JARB-OU1145
DRR272485,WGS,302,160460452,PRJDB11170,SAMD00278421,MIGS.ba.human-associated,69070138,NIID,2018-04-04,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,DRX262069,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1147,PAIRED,RANDOM,GENOMIC,JARBOU1147,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:08:00Z,1,SAMD00278421,JARB-OU1147,DRP008386,JARB-OU1147
DRR272487,WGS,302,205502242,PRJDB11170,SAMD00278423,MIGS.ba.human-associated,78814107,NIID,2018-04-13,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,DRX262071,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1149,PAIRED,RANDOM,GENOMIC,JARBOU1149,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:08:00Z,1,SAMD00278423,JARB-OU1149,DRP008386,JARB-OU1149
DRR272489,WGS,440,249461233,PRJDB11170,SAMD00278425,MIGS.ba.human-associated,127344474,NIID,2018-04-18,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",missing,missing,missing,DRX262073,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1204,PAIRED,RANDOM,GENOMIC,JARBOU1204,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:08:00Z,1,SAMD00278425,JARB-OU1204,DRP008386,JARB-OU1204
DRR272491,WGS,302,193078264,PRJDB11170,SAMD00278427,MIGS.ba.human-associated,82798564,NIID,2018-04-22,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",missing,missing,missing,DRX262075,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1206,PAIRED,RANDOM,GENOMIC,JARBOU1206,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:08:00Z,1,SAMD00278427,JARB-OU1206,DRP008386,JARB-OU1206
DRR272494,WGS,302,246109766,PRJDB11170,SAMD00278430,MIGS.ba.human-associated,95067412,NIID,2018-04-17,public,"run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,DRX262078,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1209,PAIRED,RANDOM,GENOMIC,JARBOU1209,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:07:00Z,1,SAMD00278430,JARB-OU1209,DRP008386,JARB-OU1209
DRR272495,WGS,302,248388054,PRJDB11170,SAMD00278431,MIGS.ba.human-associated,95260719,NIID,2018-04-12,public,"sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,DRX262079,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1210,PAIRED,RANDOM,GENOMIC,JARBOU1210,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:09:00Z,1,SAMD00278431,JARB-OU1210,DRP008386,JARB-OU1210
DRR272499,WGS,302,176599634,PRJDB11170,SAMD00278435,MIGS.ba.human-associated,75634508,NIID,2018-05-31,public,"run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,DRX262083,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1214,PAIRED,RANDOM,GENOMIC,JARBOU1214,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:07:00Z,1,SAMD00278435,JARB-OU1214,DRP008386,JARB-OU1214
DRR272500,WGS,302,526341304,PRJDB11170,SAMD00278436,MIGS.ba.human-associated,217932013,NIID,2018-05-25,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",missing,missing,missing,DRX262084,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1215,PAIRED,RANDOM,GENOMIC,JARBOU1215,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:08:00Z,1,SAMD00278436,JARB-OU1215,DRP008386,JARB-OU1215
DRR272502,WGS,302,447712886,PRJDB11170,SAMD00278438,MIGS.ba.human-associated,187802507,NIID,2018-06-23,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",missing,missing,missing,DRX262086,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1217,PAIRED,RANDOM,GENOMIC,JARBOU1217,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:08:00Z,1,SAMD00278438,JARB-OU1217,DRP008386,JARB-OU1217
DRR272503,WGS,302,321639664,PRJDB11170,SAMD00278439,MIGS.ba.human-associated,134467842,NIID,2018-07-05,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",missing,missing,missing,DRX262087,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1218,PAIRED,RANDOM,GENOMIC,JARBOU1218,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:06:00Z,1,SAMD00278439,JARB-OU1218,DRP008386,JARB-OU1218
DRR272505,WGS,302,323131242,PRJDB11170,SAMD00278441,MIGS.ba.human-associated,136188384,NIID,2018-07-03,public,"run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",missing,missing,missing,DRX262089,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1220,PAIRED,RANDOM,GENOMIC,JARBOU1220,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:09:00Z,1,SAMD00278441,JARB-OU1220,DRP008386,JARB-OU1220
DRR272507,WGS,302,129156038,PRJDB11170,SAMD00278443,MIGS.ba.human-associated,55295010,NIID,2018-07-11,public,"sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,missing,missing,DRX262091,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1222,PAIRED,RANDOM,GENOMIC,JARBOU1222,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:07:00Z,1,SAMD00278443,JARB-OU1222,DRP008386,JARB-OU1222
DRR272509,WGS,302,286467234,PRJDB11170,SAMD00278445,MIGS.ba.human-associated,111512250,NIID,2018-07-24,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",missing,missing,missing,DRX262093,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1224,PAIRED,RANDOM,GENOMIC,JARBOU1224,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:08:00Z,1,SAMD00278445,JARB-OU1224,DRP008386,JARB-OU1224
DRR272511,WGS,302,244724794,PRJDB11170,SAMD00278447,MIGS.ba.human-associated,95085008,NIID,2018-07-23,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,DRX262095,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1226,PAIRED,RANDOM,GENOMIC,JARBOU1226,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:08:00Z,1,SAMD00278447,JARB-OU1226,DRP008386,JARB-OU1226
DRR272513,WGS,302,271761948,PRJDB11170,SAMD00278449,MIGS.ba.human-associated,115773977,NIID,2018-07-27,public,"sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,DRX262097,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1228,PAIRED,RANDOM,GENOMIC,JARBOU1228,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:08:00Z,1,SAMD00278449,JARB-OU1228,DRP008386,JARB-OU1228
DRR272515,WGS,302,304708034,PRJDB11170,SAMD00278451,MIGS.ba.human-associated,129530760,NIID,2018-07-23,public,"sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,DRX262099,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1230,PAIRED,RANDOM,GENOMIC,JARBOU1230,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:09:00Z,1,SAMD00278451,JARB-OU1230,DRP008386,JARB-OU1230
DRR272518,WGS,302,389899214,PRJDB11170,SAMD00278454,MIGS.ba.human-associated,163156312,NIID,2018-08-07,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",missing,missing,missing,DRX262102,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1233,PAIRED,RANDOM,GENOMIC,JARBOU1233,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:06:00Z,1,SAMD00278454,JARB-OU1233,DRP008386,JARB-OU1233
DRR272520,WGS,302,341487406,PRJDB11170,SAMD00278456,MIGS.ba.human-associated,148129786,NIID,2018-08-10,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,missing,missing,DRX262104,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1235,PAIRED,RANDOM,GENOMIC,JARBOU1235,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:06:00Z,1,SAMD00278456,JARB-OU1235,DRP008386,JARB-OU1235
DRR272521,WGS,302,264874234,PRJDB11170,SAMD00278457,MIGS.ba.human-associated,115204612,NIID,2018-08-20,public,"sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",missing,missing,missing,DRX262105,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1236,PAIRED,RANDOM,GENOMIC,JARBOU1236,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:08:00Z,1,SAMD00278457,JARB-OU1236,DRP008386,JARB-OU1236
DRR272524,WGS,302,457587380,PRJDB11170,SAMD00278460,MIGS.ba.human-associated,201142928,NIID,2018-09-03,public,"run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",missing,missing,missing,DRX262108,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1239,PAIRED,RANDOM,GENOMIC,JARBOU1239,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:08:00Z,1,SAMD00278460,JARB-OU1239,DRP008386,JARB-OU1239
DRR272526,WGS,302,287137070,PRJDB11170,SAMD00278462,MIGS.ba.human-associated,112136636,NIID,2018-09-06,public,"run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,DRX262110,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1241,PAIRED,RANDOM,GENOMIC,JARBOU1241,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:10:00Z,1,SAMD00278462,JARB-OU1241,DRP008386,JARB-OU1241
DRR272528,WGS,302,295475592,PRJDB11170,SAMD00278464,MIGS.ba.human-associated,113969558,NIID,2018-09-05,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,DRX262112,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1243,PAIRED,RANDOM,GENOMIC,JARBOU1243,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:09:00Z,1,SAMD00278464,JARB-OU1243,DRP008386,JARB-OU1243
DRR272531,WGS,302,673404734,PRJDB11170,SAMD00278467,MIGS.ba.human-associated,289914410,NIID,2018-09-12,public,"sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",missing,missing,missing,DRX262115,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1246,PAIRED,RANDOM,GENOMIC,JARBOU1246,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:07:00Z,1,SAMD00278467,JARB-OU1246,DRP008386,JARB-OU1246
DRR272533,WGS,302,407846470,PRJDB11170,SAMD00278469,MIGS.ba.human-associated,157829895,NIID,2018-09-15,public,"sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,DRX262117,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1248,PAIRED,RANDOM,GENOMIC,JARBOU1248,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:09:00Z,1,SAMD00278469,JARB-OU1248,DRP008386,JARB-OU1248
DRR272536,WGS,302,322430300,PRJDB11170,SAMD00278472,MIGS.ba.human-associated,134970082,NIID,2018-09-30,public,"sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,DRX262120,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1251,PAIRED,RANDOM,GENOMIC,JARBOU1251,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:10:00Z,1,SAMD00278472,JARB-OU1251,DRP008386,JARB-OU1251
DRR272539,WGS,302,326631724,PRJDB11170,SAMD00278475,MIGS.ba.human-associated,137279500,NIID,2018-10-11,public,"run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,DRX262123,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1254,PAIRED,RANDOM,GENOMIC,JARBOU1254,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:07:00Z,1,SAMD00278475,JARB-OU1254,DRP008386,JARB-OU1254
DRR272541,WGS,302,357650144,PRJDB11170,SAMD00278477,MIGS.ba.human-associated,140163075,NIID,2018-10-16,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,DRX262125,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1256,PAIRED,RANDOM,GENOMIC,JARBOU1256,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:09:00Z,1,SAMD00278477,JARB-OU1256,DRP008386,JARB-OU1256
DRR272543,WGS,302,307789038,PRJDB11170,SAMD00278479,MIGS.ba.human-associated,127534246,NIID,2018-10-13,public,"sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,DRX262127,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1258,PAIRED,RANDOM,GENOMIC,JARBOU1258,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:09:00Z,1,SAMD00278479,JARB-OU1258,DRP008386,JARB-OU1258
DRR272546,WGS,302,239087964,PRJDB11170,SAMD00278482,MIGS.ba.human-associated,99920546,NIID,2018-10-19,public,"run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,DRX262130,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1261,PAIRED,RANDOM,GENOMIC,JARBOU1261,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:06:00Z,1,SAMD00278482,JARB-OU1261,DRP008386,JARB-OU1261
DRR272548,WGS,302,371799750,PRJDB11170,SAMD00278484,MIGS.ba.human-associated,155576330,NIID,2018-10-24,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,DRX262132,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1263,PAIRED,RANDOM,GENOMIC,JARBOU1263,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:06:00Z,1,SAMD00278484,JARB-OU1263,DRP008386,JARB-OU1263
DRR272550,WGS,302,337465068,PRJDB11170,SAMD00278486,MIGS.ba.human-associated,131288100,NIID,2018-10-31,public,"sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",missing,missing,missing,DRX262134,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1265,PAIRED,RANDOM,GENOMIC,JARBOU1265,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:07:00Z,1,SAMD00278486,JARB-OU1265,DRP008386,JARB-OU1265
